Huffman
Tiedosto,Alkuperäinen koko (b),Pakattu koko (b),Koko alkuperäisestä,Aikaa käytetty      
simple_test.txt.huff,62,23,37.10 %,0.21 ms             
sia_cheap_thrills.txt.huff,2893,1713,59.21 %,2.20 ms             
jfk_virkaanastujaispuhe.txt.huff,7430,4107,55.28 %,4.37 ms             
alice29.txt.huff,152089,84641,55.65 %,54.67 ms            
asyoulik.txt.huff,125179,75894,60.63 %,48.81 ms            
fields.c.huff,11150,7141,64.04 %,6.18 ms             
grammar.lsp.huff,3721,2268,60.95 %,2.13 ms             
lcet10.txt.huff,426754,243983,57.17 %,167.74 ms           
plrabn12.txt.huff,481861,266286,55.26 %,188.18 ms           

Tiedosto,Aikaa käytetty      
simple_test.txt.huff.purettu,0.28 ms             
sia_cheap_thrills.txt.huff.purettu,17.91 ms            
jfk_virkaanastujaispuhe.txt.huff.purettu,50.30 ms            
alice29.txt.huff.purettu,1177.97 ms          
asyoulik.txt.huff.purettu,1024.31 ms          
fields.c.huff.purettu,118.02 ms           
grammar.lsp.huff.purettu,31.77 ms            
lcet10.txt.huff.purettu,3681.58 ms          
plrabn12.txt.huff.purettu,3867.94 ms          

LZ78
Tiedosto,Alkuperäinen koko (b),Pakattu koko (b),Koko alkuperäisestä,Aikaa käytetty      
simple_test.txt.lz,62,39,62.90 %,0.24 ms             
sia_cheap_thrills.txt.lz,2893,1898,65.61 %,3.66 ms             
jfk_virkaanastujaispuhe.txt.lz,7430,4822,64.90 %,8.41 ms             
alice29.txt.lz,152089,78490,51.61 %,147.78 ms           
asyoulik.txt.lz,125179,69479,55.50 %,117.57 ms           
fields.c.lz,11150,6452,57.87 %,15.48 ms            
grammar.lsp.lz,3721,2289,61.52 %,5.64 ms             
lcet10.txt.lz,426754,205864,48.24 %,377.78 ms           
plrabn12.txt.lz,481861,246445,51.14 %,521.74 ms           

Tiedosto,Aikaa käytetty      
simple_test.txt.lz.purettu,0.22 ms             
sia_cheap_thrills.txt.lz.purettu,3.76 ms             
jfk_virkaanastujaispuhe.txt.lz.purettu,9.17 ms             
alice29.txt.lz.purettu,877.85 ms           
asyoulik.txt.lz.purettu,601.21 ms           
fields.c.lz.purettu,13.35 ms            
grammar.lsp.lz.purettu,3.64 ms   
lcet10.txt.lz.purettu,9475.40 ms          
plrabn12.txt.lz.purettu,13605.34 ms         
